## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/SCP_3954_T_S22_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/SCP3954_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/SCP3954_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 14:01:27 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	45079963	33792000	0	0	20526268	3653	0.45533	32932630

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000038	21900709	0	21900975
2.0	1.254446	1807344	1490	1807122
3.0	1.319167	314921	211	314893
4.0	1.335632	124172	90	124160
5.0	1.33982	69999	35	69999
6.0	1.340886	46011	24	46008
7.0	1.341157	33144	17	33145
8.0	1.341226	25305	8	25305
9.0	1.341243	20015	10	20013
10.0	1.341248	16213	7	16217
11.0	1.341249	13618	5	13619
12.0	1.341249	11415	5	11413
13.0	1.341249	9900	4	9897
14.0	1.341249	8681	1	8681
15.0	1.341249	7803	2	7805
16.0	1.341249	6990	3	6989
17.0	1.341249	6047	1	6047
18.0	1.341249	5517	1	5517
19.0	1.341249	5046	2	5045
20.0	1.341249	4797	3	4799
21.0	1.341249	4231	1	4232
22.0	1.341249	3816	0	3813
23.0	1.341249	3620	4	3621
24.0	1.341249	3293	1	3294
25.0	1.341249	3132	0	3132
26.0	1.341249	2937	0	2936
27.0	1.341249	2793	2	2794
28.0	1.341249	2541	0	2539
29.0	1.341249	2514	0	2515
30.0	1.341249	2263	1	2264
31.0	1.341249	2075	0	2073
32.0	1.341249	2016	1	2017
33.0	1.341249	1908	0	1908
34.0	1.341249	1897	0	1896
35.0	1.341249	1727	0	1729
36.0	1.341249	1692	0	1690
37.0	1.341249	1607	0	1608
38.0	1.341249	1544	0	1543
39.0	1.341249	1469	0	1470
40.0	1.341249	1410	0	1411
41.0	1.341249	1313	1	1311
42.0	1.341249	1297	0	1297
43.0	1.341249	1249	0	1249
44.0	1.341249	1166	1	1167
45.0	1.341249	1129	0	1130
46.0	1.341249	1090	0	1088
47.0	1.341249	1068	0	1068
48.0	1.341249	1020	0	1020
49.0	1.341249	1005	0	1006
50.0	1.341249	889	0	890
51.0	1.341249	932	0	930
52.0	1.341249	875	0	876
53.0	1.341249	865	0	864
54.0	1.341249	796	0	797
55.0	1.341249	802	1	801
56.0	1.341249	748	0	750
57.0	1.341249	807	0	805
58.0	1.341249	743	0	745
59.0	1.341249	731	0	729
60.0	1.341249	672	0	674
61.0	1.341249	688	0	687
62.0	1.341249	660	1	659
63.0	1.341249	643	0	643
64.0	1.341249	631	0	631
65.0	1.341249	608	0	608
66.0	1.341249	598	0	598
67.0	1.341249	592	0	592
68.0	1.341249	556	0	556
69.0	1.341249	527	0	528
70.0	1.341249	537	0	536
71.0	1.341249	516	0	516
72.0	1.341249	492	0	492
73.0	1.341249	493	0	493
74.0	1.341249	509	0	510
75.0	1.341249	481	0	480
76.0	1.341249	480	0	481
77.0	1.341249	437	0	436
78.0	1.341249	470	0	470
79.0	1.341249	441	0	441
80.0	1.341249	438	0	441
81.0	1.341249	439	0	437
82.0	1.341249	400	0	401
83.0	1.341249	390	0	391
84.0	1.341249	419	0	416
85.0	1.341249	350	0	351
86.0	1.341249	351	0	351
87.0	1.341249	384	0	384
88.0	1.341249	354	0	353
89.0	1.341249	308	0	308
90.0	1.341249	337	0	339
91.0	1.341249	367	0	365
92.0	1.341249	334	0	334
93.0	1.341249	320	0	320
94.0	1.341249	323	0	324
95.0	1.341249	308	0	307
96.0	1.341249	303	0	304
97.0	1.341249	285	0	287
98.0	1.341249	292	0	289
99.0	1.341249	298	0	298
100.0	1.341249	265	0	266
101.0	0	300	0	300
102.0	0	280	0	279
103.0	0	241	0	241
104.0	0	271	0	271
105.0	0	285	1	286
106.0	0	268	0	267
107.0	0	250	0	251
108.0	0	249	0	248
109.0	0	223	0	225
110.0	0	251	0	250
111.0	0	228	0	228
112.0	0	225	0	228
113.0	0	249	0	247
114.0	0	235	0	234
115.0	0	204	0	204
116.0	0	194	0	193
117.0	0	255	0	255
118.0	0	210	0	210
119.0	0	213	0	213
