## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_0596_T_S12_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0596_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0596_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 17 17:32:21 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	17277455	12247238	0	0	8524165	740	0.493369	11087142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000018	7614554	0	7614640
2.0	1.210508	734176	522	734114
3.0	1.254814	136298	38	136281
4.0	1.264139	56009	12	56002
5.0	1.266102	33050	5	33051
6.0	1.266516	22825	1	22825
7.0	1.266603	16641	4	16643
8.0	1.266621	13021	0	13021
9.0	1.266625	10379	3	10376
10.0	1.266625	8777	0	8779
11.0	1.266626	7412	1	7412
12.0	1.266626	6349	1	6347
13.0	1.266626	5528	1	5531
14.0	1.266626	4808	0	4807
15.0	1.266626	4314	0	4313
16.0	1.266626	3821	0	3821
17.0	1.266626	3558	0	3557
18.0	1.266626	3195	0	3195
19.0	1.266626	2876	0	2876
20.0	1.266626	2739	0	2740
21.0	1.266626	2445	0	2445
22.0	1.266626	2246	0	2245
23.0	1.266626	2137	0	2137
24.0	1.266626	2023	0	2024
25.0	1.266626	1908	0	1907
26.0	1.266626	1678	0	1678
27.0	1.266626	1600	0	1602
28.0	1.266626	1517	0	1515
29.0	1.266626	1472	0	1474
30.0	1.266626	1292	0	1290
31.0	1.266626	1247	0	1247
32.0	1.266626	1205	0	1205
33.0	1.266626	1157	0	1159
34.0	1.266626	1034	0	1034
35.0	1.266626	1024	0	1023
36.0	1.266626	1000	0	1000
37.0	1.266626	880	0	879
38.0	1.266626	814	0	815
39.0	1.266626	791	0	790
40.0	1.266626	801	0	801
41.0	1.266626	748	0	749
42.0	1.266626	723	0	723
43.0	1.266626	697	0	697
44.0	1.266626	718	0	718
45.0	1.266626	665	0	664
46.0	1.266626	601	0	602
47.0	1.266626	611	0	610
48.0	1.266626	582	0	582
49.0	1.266626	533	0	534
50.0	1.266626	503	0	503
51.0	1.266626	569	0	568
52.0	1.266626	541	0	541
53.0	1.266626	464	0	466
54.0	1.266626	471	0	469
55.0	1.266626	505	0	505
56.0	1.266626	456	0	458
57.0	1.266626	428	0	428
58.0	1.266626	440	0	438
59.0	1.266626	419	0	419
60.0	1.266626	410	0	411
61.0	1.266626	352	0	351
62.0	1.266626	371	0	371
63.0	1.266626	372	0	372
64.0	1.266626	352	0	354
65.0	1.266626	320	0	320
66.0	1.266626	299	0	297
67.0	1.266626	344	0	344
68.0	1.266626	317	0	318
69.0	1.266626	309	0	308
70.0	1.266626	273	0	274
71.0	1.266626	284	0	284
72.0	1.266626	309	0	308
73.0	1.266626	273	0	274
74.0	1.266626	258	0	258
75.0	1.266626	268	0	269
76.0	1.266626	232	0	230
77.0	1.266626	242	0	242
78.0	1.266626	242	0	242
79.0	1.266626	233	0	233
80.0	1.266626	244	0	244
81.0	1.266626	206	0	206
82.0	1.266626	215	0	215
83.0	1.266626	205	0	206
84.0	1.266626	230	0	230
85.0	1.266626	214	0	214
86.0	1.266626	203	0	203
87.0	1.266626	197	0	197
88.0	1.266626	213	0	212
89.0	1.266626	183	0	184
90.0	1.266626	197	0	199
91.0	1.266626	176	0	173
92.0	1.266626	178	0	179
93.0	1.266626	172	0	171
94.0	1.266626	166	0	166
95.0	1.266626	187	0	187
96.0	1.266626	150	0	152
97.0	1.266626	139	0	137
98.0	1.266626	157	0	158
99.0	1.266626	155	0	155
100.0	1.266626	159	0	158
101.0	0	150	0	150
102.0	0	143	0	143
103.0	0	159	0	160
104.0	0	135	0	135
105.0	0	137	0	136
106.0	0	126	0	126
107.0	0	136	0	136
108.0	0	146	0	147
109.0	0	129	0	129
110.0	0	120	0	119
