## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/STP_0932_T_S39_GRCh38_Aligned.sortedByCoord.out.bam --OUTPUT /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0932_marked_duplicates.bam --METRICS_FILE /home/smit1924/preeclampsia_sex_chromosome_informed/clearBoxRawData/bamFiles/deduplicated_data/STP0932_mark_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 16 15:01:39 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	23028943	68654406	0	0	11830079	1146	0.513705	13800206

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000019	9764225	0	9764367
2.0	1.188507	757258	657	757135
3.0	1.224035	204868	52	204854
4.0	1.230731	102346	24	102346
5.0	1.231993	63455	9	63454
6.0	1.232231	43514	16	43514
7.0	1.232276	32288	3	32285
8.0	1.232284	24876	7	24878
9.0	1.232286	19814	2	19814
10.0	1.232286	15966	2	15963
11.0	1.232286	13499	0	13500
12.0	1.232286	11438	0	11437
13.0	1.232286	9882	0	9886
14.0	1.232286	8681	0	8679
15.0	1.232286	7547	0	7547
16.0	1.232286	6696	1	6695
17.0	1.232286	5883	0	5882
18.0	1.232286	5369	0	5370
19.0	1.232286	4819	0	4819
20.0	1.232286	4431	1	4432
21.0	1.232286	4105	1	4105
22.0	1.232286	3751	2	3749
23.0	1.232286	3404	0	3405
24.0	1.232286	3127	0	3130
25.0	1.232286	3031	0	3027
26.0	1.232286	2715	0	2715
27.0	1.232286	2509	0	2510
28.0	1.232286	2389	0	2388
29.0	1.232286	2205	0	2205
30.0	1.232286	2079	0	2080
31.0	1.232286	1917	0	1917
32.0	1.232286	1921	0	1920
33.0	1.232286	1733	0	1733
34.0	1.232286	1639	0	1640
35.0	1.232286	1567	0	1567
36.0	1.232286	1493	0	1492
37.0	1.232286	1458	0	1459
38.0	1.232286	1345	0	1347
39.0	1.232286	1253	0	1250
40.0	1.232286	1204	0	1206
41.0	1.232286	1158	0	1156
42.0	1.232286	1111	0	1111
43.0	1.232286	1094	0	1094
44.0	1.232286	1009	0	1009
45.0	1.232286	983	0	983
46.0	1.232286	900	0	902
47.0	1.232286	862	0	860
48.0	1.232286	874	0	874
49.0	1.232286	836	0	839
50.0	1.232286	777	0	774
51.0	1.232286	756	0	757
52.0	1.232286	689	0	690
53.0	1.232286	737	0	735
54.0	1.232286	729	0	731
55.0	1.232286	643	0	641
56.0	1.232286	640	0	640
57.0	1.232286	630	0	630
58.0	1.232286	621	0	622
59.0	1.232286	576	0	575
60.0	1.232286	566	0	568
61.0	1.232286	551	0	549
62.0	1.232286	537	0	537
63.0	1.232286	523	0	525
64.0	1.232286	467	0	465
65.0	1.232286	481	0	481
66.0	1.232286	461	0	461
67.0	1.232286	449	0	450
68.0	1.232286	422	0	422
69.0	1.232286	444	0	443
70.0	1.232286	436	0	437
71.0	1.232286	421	0	420
72.0	1.232286	393	0	395
73.0	1.232286	388	0	386
74.0	1.232286	373	0	373
75.0	1.232286	383	0	384
76.0	1.232286	370	0	370
77.0	1.232286	354	0	354
78.0	1.232286	328	0	327
79.0	1.232286	333	0	334
80.0	1.232286	314	0	313
