Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000223972.5	0	0	0	0	0	0
ENSG00000227232.5	7	2	2	1	4	1
ENSG00000278267.1	0	0	0	0	0	0
ENSG00000243485.5	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0
ENSG00000238009.6	0	0	1	0	0	0
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	1	0	0	1	0	1
ENSG00000268903.1	0	2	0	0	0	0
ENSG00000269981.1	1	0	0	1	0	0
ENSG00000239906.1	0	0	0	0	0	0
ENSG00000241860.6	3	0	1	2	0	1
ENSG00000222623.1	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0
ENSG00000279457.4	45	16	11	9	13	7
ENSG00000273874.1	0	0	0	0	0	0
ENSG00000228463.10	7	4	1	1	5	8
ENSG00000236679.2	0	0	0	0	0	0
ENSG00000236601.2	1	0	1	0	1	1
ENSG00000237094.12	13	6	5	4	5	10
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0
ENSG00000230021.10	13	4	7	0	6	3
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	3	3	2	1	1	1
ENSG00000225630.1	75	162	16	41	102	24
ENSG00000237973.1	197	23	635	125	30	33
ENSG00000278791.1	0	0	0	0	0	0
ENSG00000229344.1	3	2	2	0	0	1
ENSG00000240409.1	0	0	0	0	0	0
ENSG00000248527.1	2045	1874	582	859	951	824
ENSG00000198744.5	9	0	3	1	1	2
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0
ENSG00000229376.3	5	1	2	0	1	1
ENSG00000228327.3	33	14	10	4	10	7
ENSG00000223181.1	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0
ENSG00000237491.8	36	9	4	6	6	3
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000230092.7	36	11	17	2	9	5
ENSG00000177757.2	10	4	1	1	1	1
ENSG00000228794.8	73	25	154	34	52	32
ENSG00000225880.5	20	1	8	6	8	5
ENSG00000230368.2	3	1	3	1	1	2
ENSG00000234711.1	0	1	1	1	0	0
ENSG00000283040.1	0	0	0	0	0	0
ENSG00000272438.1	0	0	0	0	0	0
ENSG00000230699.2	0	0	1	0	0	0
ENSG00000241180.1	0	0	0	0	0	0
ENSG00000223764.2	1	2	1	0	0	0
ENSG00000187634.11	1	0	6	1	2	2
ENSG00000188976.10	380	137	729	271	172	179
ENSG00000187961.13	19	5	11	5	7	1
ENSG00000187583.10	4	1	12	1	1	0
ENSG00000187642.9	0	0	0	1	0	0
ENSG00000272512.1	4	0	0	2	1	0
ENSG00000188290.10	38	3	30	11	12	15
ENSG00000187608.9	193	21	223	223	48	83
ENSG00000231702.2	0	0	0	0	0	0
ENSG00000224969.1	0	0	0	0	0	0
ENSG00000188157.14	207	29	203	151	83	75
ENSG00000242590.1	0	0	0	0	0	0
ENSG00000217801.9	0	0	1	0	0	0
ENSG00000273443.1	0	0	0	0	0	0
ENSG00000237330.2	8	8	19	2	114	7
ENSG00000131591.17	40	5	39	22	25	13
ENSG00000285812.1	0	1	2	2	0	1
ENSG00000223823.1	0	0	0	1	0	0
ENSG00000207730.3	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	0	0
ENSG00000205231.1	3	1	0	1	5	3
ENSG00000162571.13	9	3	0	6	9	6
ENSG00000186891.13	1	0	0	3	0	0
ENSG00000186827.10	23	6	4	20	13	4
ENSG00000078808.16	1387	550	2460	652	866	780
